iter	Passed	Remaining
211	3290	12232
212	3303	12206
213	3315	12176
214	3326	12146
215	3337	12115
216	3347	12077
217	3357	12043
218	3367	12010
219	3379	11981
220	3392	11957
221	3404	11930
222	3418	11910
223	3437	11908
224	3450	11886
225	3463	11862
226	3477	11841
227	3487	11808
228	3499	11781
229	3510	11752
230	3521	11723
231	3534	11701
232	3546	11673
233	3558	11648
234	3569	11619
235	3582	11596
236	3594	11572
237	3608	11553
238	3619	11524
239	3630	11495
240	3639	11462
241	3649	11431
242	3661	11407
243	3674	11384
244	3687	11362
245	3698	11337
246	3710	11311
247	3720	11282
248	3733	11261
249	3744	11232
250	3763	11230
251	3779	11219
252	3792	11198
253	3803	11170
254	3816	11149
255	3827	11123
256	3841	11105
257	3852	11078
258	3865	11060
259	3876	11033
260	3887	11006
261	3897	10977
262	3907	10949
263	3918	10924
264	3934	10911
265	3950	10900
266	3975	10915
267	4082	11150
268	4149	11276
269	4220	11411
270	4240	11406
271	4264	11414
272	4305	11464
273	4341	11503
274	4359	11492
275	4375	11477
276	4394	11469
277	4410	11453
278	4426	11438
279	4453	11452
280	4488	11485
281	4519	11507
282	4563	11560
283	4598	11593
284	4625	11604
285	4647	11601
286	4668	11597
287	4681	11573
288	4693	11547
289	4706	11522
290	4718	11496
291	4734	11479
292	4749	11460
293	4769	11452
294	4786	11438
295	4799	11416
296	4813	11393
297	4827	11372
298	4841	11350
299	4854	11326
300	4870	11309
301	4882	11285
302	4896	11263
303	4911	11244
304	4926	11226
305	4943	11211
306	4959	11194
307	4973	11173
308	4995	11170
309	5013	11159
310	5028	11140
311	5047	11130
312	5072	11134
313	5093	11127
314	5113	11119
315	5136	11118
316	5162	11123
317	5181	11111
318	5199	11099
319	5225	11103
320	5243	11091
321	5259	11073
322	5292	11093
323	5317	11095
324	5335	11081
325	5374	11111
326	5408	11130
327	5445	11157
328	5470	11156
329	5487	11141
330	5505	11127
331	5525	11118
332	5541	11099
333	5557	11080
334	5576	11068
335	5594	11055
336	5610	11037
337	5626	11019
338	5647	11011
339	5660	10988
340	5678	10974
341	5693	10954
342	5715	10947
343	5729	10925
344	5745	10908
345	5767	10901
346	5788	10893
347	5812	10890
348	5830	10875
349	5846	10857
350	5857	10830
351	5871	10808
352	5883	10783
353	5896	10760
354	5910	10738
355	5923	10715
356	5933	10687
357	5945	10661
358	5957	10637
359	5970	10614
360	5984	10592
361	5998	10571
362	6012	10550
363	6022	10523
364	6033	10496
365	6045	10472
366	6058	10449
367	6069	10423
368	6081	10399
369	6092	10373
370	6103	10348
371	6117	10327
372	6130	10305
373	6142	10280
374	6154	10256
375	6164	10230
376	6176	10206
377	6187	10181
378	6198	10155
379	6210	10133
380	6222	10109
381	6234	10086
382	6245	10061
383	6258	10039
384	6267	10012
385	6281	9992
386	6293	9969
387	6309	9952
388	6324	9934
389	6340	9916
390	6353	9895
391	6366	9874
392	6380	9854
393	6393	9833
394	6410	9818
395	6423	9797
396	6437	9778
397	6452	9760
398	6464	9736
399	6476	9714
400	6487	9691
401	6500	9670
402	6517	9655
403	6535	9641
404	6554	9628
405	6578	9624
406	6592	9605
407	6603	9582
408	6617	9562
409	6632	9544
410	6651	9532
411	6668	9516
412	6681	9495
413	6694	9475
414	6708	9457
415	6720	9434
416	6731	9411
417	6741	9387
418	6754	9366
419	6770	9349
420	6781	9326
421	6794	9305
422	6806	9285
423	6819	9264
424	6831	9242
425	6846	9224
426	6862	9209
427	6880	9195
428	6898	9182
429	6921	9175
430	6939	9161
431	6955	9145
432	6971	9128
433	6986	9111
434	6997	9088
435	7009	9067
436	7022	9046
437	7040	9033
438	7054	9014
439	7068	8995
440	7084	8979
441	7098	8961
442	7124	8958
443	7137	8937
444	7149	8916
445	7160	8894
446	7171	8872
447	7183	8850
448	7193	8828
449	7204	8805
450	7215	8783
451	7226	8761
452	7241	8743
453	7254	8724
454	7270	8708
455	7289	8696
456	7307	8683
457	7325	8669
458	7347	8659
459	7376	8659
460	7393	8643
461	7414	8634
462	7440	8629
463	7459	8617
464	7492	8620
465	7523	8621
466	7567	8637
467	7603	8643
468	7658	8670
469	7683	8664
470	7732	8685
471	7786	8709
472	7821	8714
473	7863	8726
474	7915	8748
475	7963	8766
476	8005	8777
477	8062	8804
478	8095	8805
479	8134	8812
480	8192	8839
481	8222	8836
482	8282	8865
483	8328	8879
484	8360	8877
485	8396	8879
486	8428	8878
487	8451	8866
488	8471	8852
489	8500	8847
490	8520	8832
491	8544	8822
492	8563	8806
493	8596	8805
494	8626	8801
495	8665	8805
496	8694	8799
497	8717	8787
498	8737	8772
499	8766	8766
500	8786	8751
501	8804	8733
502	8822	8717
503	8840	8700
504	8858	8683
505	8882	8671
506	8901	8655
507	8925	8644
508	8950	8634
509	8979	8626
510	9002	8614
511	9028	8605
512	9055	8597
513	9092	8597
514	9141	8608
515	9195	8625
516	9236	8629
517	9269	8624
518	9297	8616
519	9325	8608
520	9392	8635
521	9436	8641
522	9475	8641
523	9511	8640
524	9557	8647
525	9581	8634
526	9615	8629
527	9653	8630
528	9717	8652
529	9761	8656
530	9785	8642
531	9814	8634
532	9842	8623
533	9859	8604
534	9883	8590
535	9902	8572
536	9925	8557
537	9945	8540
538	9979	8535
539	10001	8519
540	10023	8504
541	10043	8487
542	10059	8466
543	10073	8444
544	10093	8426
545	10108	8405
546	10121	8382
547	10145	8368
548	10183	8365
549	10212	8356
550	10237	8342
551	10253	8321
552	10271	8302
553	10293	8286
554	10320	8274
555	10352	8266
556	10383	8258
557	10407	8243
558	10424	8223
559	10440	8203
560	10478	8199
561	10514	8194
562	10533	8175
563	10552	8157
564	10568	8137
565	10591	8121
566	10615	8106
567	10655	8104
568	10682	8091
569	10707	8077
570	10736	8066
571	10765	8055
572	10791	8041
573	10810	8023
574	10842	8013
575	10868	8000
576	10976	8046
577	11051	8068
578	11074	8052
579	11092	8032
580	11113	8014
581	11129	7993
582	11147	7973
583	11168	7955
584	11186	7936
585	11204	7915
586	11226	7898
587	11239	7875
588	11260	7857
589	11272	7833
590	11285	7810
591	11300	7788
592	11312	7764
593	11322	7739
594	11335	7715
595	11347	7691
596	11362	7669
597	11376	7648
598	11392	7626
599	11403	7602
600	11414	7577
601	11424	7552
602	11433	7527
603	11444	7503
604	11454	7478
605	11466	7455
606	11486	7436
607	11498	7413
608	11512	7391
609	11523	7367
610	11533	7342
611	11545	7319
612	11556	7295
613	11566	7271
614	11578	7248
615	11595	7228
616	11606	7204
617	11618	7181
618	11630	7158
619	11642	7135
620	11653	7112
621	11663	7088
622	11676	7065
623	11687	7042
624	11699	7019
625	11712	6997
626	11723	6974
627	11734	6951
628	11746	6928
629	11757	6905
630	11768	6882
631	11779	6858
632	11791	6836
633	11801	6812
634	11816	6792
635	11828	6769
636	11840	6747
637	11852	6724
638	11862	6701
639	11873	6679
640	11886	6657
641	11898	6635
642	11911	6613
643	11924	6591
644	11937	6570
645	11947	6547
646	11960	6525
647	11971	6502
648	11984	6481
649	11995	6458
650	12004	6435
651	12016	6413
652	12027	6391
653	12041	6370
654	12053	6348
655	12066	6327
656	12078	6305
657	12092	6285
658	12105	6263
659	12116	6242
660	12125	6218
661	12138	6197
662	12151	6176
663	12162	6154
664	12172	6132
665	12182	6109
666	12194	6088
667	12206	6066
668	12217	6045
669	12230	6024
670	12241	6002
671	12251	5980
672	12262	5957
673	12272	5935
674	12286	5915
675	12296	5893
676	12312	5874
677	12324	5853
678	12334	5831
679	12345	5809
680	12358	5788
681	12368	5766
682	12379	5745
683	12391	5724
684	12403	5703
685	12421	5685
686	12431	5663
687	12444	5643
688	12456	5622
689	12467	5601
690	12478	5580
691	12488	5558
692	12500	5537
693	12517	5519
694	12536	5501
695	12551	5482
696	12562	5461
697	12574	5440
698	12586	5419
699	12600	5400
700	12618	5382
701	12630	5361
702	12644	5341
703	12658	5322
704	12672	5302
705	12683	5281
706	12693	5260
707	12703	5239
708	12714	5218
709	12727	5198
710	12739	5178
711	12749	5157
712	12766	5138
713	12781	5119
714	12798	5101
715	12814	5082
716	12828	5063
717	12843	5044
718	12856	5024
719	12869	5004
720	12883	4985
721	12894	4965
722	12906	4944
723	12916	4923
724	12926	4903
725	12942	4884
726	12954	4864
727	12966	4844
728	12978	4824
729	12992	4805
730	13002	4784
731	13016	4765
732	13032	4747
733	13048	4728
734	13065	4710
735	13076	4690
736	13087	4670
737	13099	4650
738	13114	4631
739	13126	4612
740	13139	4592
741	13150	4572
742	13161	4552
743	13172	4532
744	13183	4512
745	13194	4492
746	13211	4474
747	13222	4454
748	13233	4434
749	13244	4414
750	13264	4397
751	13279	4379
752	13293	4360
753	13310	4342
754	13334	4327
755	13348	4308
756	13363	4289
757	13384	4273
758	13401	4255
759	13413	4235
760	13425	4216
761	13439	4197
762	13453	4178
763	13468	4160
764	13480	4141
765	13499	4123
766	13511	4104
767	13522	4084
768	13535	4065
769	13546	4046
770	13558	4027
771	13569	4007
772	13584	3989
773	13596	3970
774	13608	3950
775	13618	3931
776	13630	3911
777	13640	3892
778	13652	3873
779	13665	3854
780	13676	3835
781	13688	3816
782	13700	3796
783	13710	3777
784	13721	3758
785	13731	3738
786	13742	3719
787	13755	3700
788	13768	3681
789	13780	3663
790	13790	3643
791	13803	3625
792	13813	3605
793	13825	3586
794	13837	3568
795	13850	3549
796	13860	3530
797	13871	3511
798	13885	3493
799	13896	3474
800	13918	3457
801	13932	3439
802	13945	3421
803	13965	3404
804	13984	3387
805	14019	3374
806	14041	3358
807	14053	3339
808	14067	3321
809	14079	3302
810	14089	3283
811	14100	3264
812	14110	3245
813	14122	3227
814	14133	3208
815	14145	3189
816	14156	3171
817	14166	3151
818	14179	3133
819	14189	3114
820	14199	3095
821	14211	3077
822	14221	3058
823	14235	3040
824	14247	3022
825	14261	3004
826	14272	2985
827	14284	2967
828	14295	2948
829	14307	2930
830	14318	2911
831	14329	2893
832	14343	2875
833	14354	2857
834	14366	2838
835	14378	2820
836	14392	2802
837	14407	2785
838	14419	2766
839	14432	2749
840	14450	2731
841	14466	2714
842	14485	2697
843	14500	2680
844	14518	2663
845	14536	2646
846	14550	2628
847	14564	2610
848	14583	2593
849	14597	2576
850	14609	2558
851	14625	2540
852	14639	2522
853	14655	2505
854	14670	2487
855	14683	2470
856	14693	2451
857	14703	2433
858	14715	2415
859	14725	2397
860	14737	2379
861	14749	2361
862	14760	2343
863	14772	2325
864	14782	2307
865	14793	2289
866	14803	2270
867	14815	2253
868	14825	2234
869	14839	2217
870	14850	2199
871	14865	2182
872	14881	2164
873	14891	2146
874	14905	2129
875	14917	2111
876	14928	2093
877	14938	2075
878	14951	2058
879	14962	2040
880	14973	2022
881	14985	2004
882	15001	1987
883	15013	1970
884	15027	1952
885	15039	1935
886	15054	1917
887	15069	1900
888	15084	1883
889	15096	1865
890	15109	1848
891	15121	1830
892	15134	1813
893	15144	1795
894	15157	1778
895	15168	1760
896	15180	1743
897	15193	1725
898	15208	1708
899	15223	1691
900	15241	1674
901	15256	1657
902	15271	1640
903	15292	1623
904	15315	1607
905	15329	1590
906	15342	1573
907	15357	1556
908	15374	1539
909	15391	1522
910	15404	1504
911	15416	1487
912	15435	1470
913	15449	1453
914	15467	1436
915	15481	1419
916	15498	1402
917	15512	1385
918	15525	1368
919	15535	1350
920	15548	1333
921	15560	1316
922	15572	1299
923	15582	1281
924	15592	1264
925	15605	1247
926	15616	1229
927	15628	1212
928	15640	1195
929	15654	1178
930	15670	1161
931	15682	1144
932	15696	1127
933	15712	1110
934	15731	1093
935	15751	1077
936	15768	1060
937	15780	1043
938	15795	1026
939	15819	1009
940	15834	992
941	15861	976
942	15881	959
943	15894	942
944	15906	925
945	15918	908
946	15930	891
947	15945	874
948	15959	857
949	15969	840
950	15980	823
951	15993	806
952	16004	789
953	16015	772
954	16025	755
955	16037	738
956	16050	721
957	16061	704
958	16079	687
959	16092	670
960	16103	653
961	16118	636
962	16129	619
963	16141	602
964	16154	585
965	16169	569
966	16181	552
967	16195	535
968	16211	518
969	16234	502
970	16252	485
971	16265	468
972	16276	451
973	16285	434
974	16296	417
975	16307	401
976	16318	384
977	16327	367
978	16339	350
979	16351	333
980	16364	316
981	16375	300
982	16389	283
983	16402	266
984	16412	249
985	16423	233
986	16435	216
987	16447	199
988	16457	183
989	16468	166
990	16479	149
991	16489	132
992	16501	116
993	16511	99
994	16525	83
995	16542	66
996	16570	49
997	16592	33
998	16611	16
999	16631	0
