iter	MultiClass
227	0.3932269776
228	0.392378667
229	0.3916653129
230	0.3914177296
231	0.390869848
232	0.3906858467
233	0.3903933012
234	0.389663546
235	0.3891715402
236	0.3884415265
237	0.3879840363
238	0.3877235547
239	0.386768272
240	0.3866127451
241	0.3861691339
242	0.3859245655
243	0.3850367031
244	0.3841479983
245	0.3838472116
246	0.3832754359
247	0.3827470586
248	0.3822655526
249	0.3817158663
250	0.3812855782
251	0.3808982381
252	0.3804532838
253	0.3800789813
254	0.3796912978
255	0.3789113156
256	0.3778139262
257	0.3769623912
258	0.3762310004
259	0.375456832
260	0.3750268062
261	0.3745903326
262	0.3742779764
263	0.3739641441
264	0.3725537118
265	0.3720483857
266	0.3716931547
267	0.3707532804
268	0.3695722009
269	0.3693122721
270	0.3690043107
271	0.3688744763
272	0.3681894506
273	0.3676188626
274	0.3669866223
275	0.3665001492
276	0.3657112358
277	0.3650243847
278	0.3645279815
279	0.3637202293
280	0.3631414765
281	0.362994698
282	0.3624970924
283	0.3618395788
284	0.3616432303
285	0.3611943749
286	0.3607312182
287	0.360350967
288	0.3599154983
289	0.3589952683
290	0.3583271608
291	0.3577092015
292	0.3568605737
293	0.3559075626
294	0.3553743229
295	0.3545007788
296	0.3541523826
297	0.3533965334
298	0.352763156
299	0.352034837
300	0.3515619217
301	0.3512388711
302	0.3510985113
303	0.3506781358
304	0.3503440345
305	0.3501426825
306	0.3494633919
307	0.3491142833
308	0.348541678
309	0.347875982
310	0.3472138705
311	0.3468147443
312	0.3462617675
313	0.3458122717
314	0.345249053
315	0.3441111692
316	0.3438826341
317	0.3437323564
318	0.3432905545
319	0.3428236651
320	0.3422717717
321	0.3418585371
322	0.3415426284
323	0.3411984413
324	0.3409467687
325	0.3401778114
326	0.339991552
327	0.3390693961
328	0.3387946363
329	0.3382063678
330	0.3374444419
331	0.3367508644
332	0.3361239094
333	0.3354708679
334	0.3350684836
335	0.3346198787
336	0.3340458335
337	0.3332510587
338	0.3328020996
339	0.3325607425
340	0.3322726195
341	0.3320866252
342	0.3316953966
343	0.3314160864
344	0.3309959387
345	0.3306235378
346	0.3301029906
347	0.3292008431
348	0.3285777731
349	0.328203218
350	0.3278904425
351	0.3274129462
352	0.3271174169
353	0.3260265515
354	0.3254180251
355	0.3250406964
356	0.3245829699
357	0.32412393
358	0.3236703211
359	0.3229403238
360	0.3226402511
361	0.322402656
362	0.3217549667
363	0.3212565837
364	0.3207139884
365	0.3201779116
366	0.3193946585
367	0.3183762446
368	0.3175782112
369	0.3173079896
370	0.3167398667
371	0.3163058698
372	0.3160918606
373	0.3155737125
374	0.3147995387
375	0.3143582322
376	0.3136220567
377	0.3132011622
378	0.3125087727
379	0.3120182259
380	0.3113169157
381	0.3111186782
382	0.3106522569
383	0.3102027519
384	0.3101540127
385	0.3098991
386	0.3096234995
387	0.3092247678
388	0.3084035533
389	0.3077274464
390	0.3071949237
391	0.3065834687
392	0.3060415824
393	0.3056284027
394	0.3050395188
395	0.3046849532
396	0.3042035226
397	0.303688337
398	0.3034017674
399	0.3028159457
400	0.3022832836
401	0.3017660439
402	0.3010170668
403	0.3005881644
404	0.3003720941
405	0.2997263066
406	0.2992112744
407	0.2989250293
408	0.298449532
409	0.2977285554
410	0.2974226459
411	0.2971712625
412	0.2967608301
413	0.2963121923
414	0.2960741329
415	0.2955673507
416	0.2949440343
417	0.2947986194
418	0.2945086678
419	0.293772435
420	0.2932185879
421	0.2928020064
422	0.2924837223
423	0.2918581197
424	0.2913698626
425	0.2908963844
426	0.290098183
427	0.289566761
428	0.2891837975
429	0.2884714339
430	0.2881033712
431	0.2878145109
432	0.2874196945
433	0.2867058265
434	0.2864319571
435	0.2860018627
436	0.2854894689
437	0.2850010112
438	0.2845211213
439	0.2838732673
440	0.2835146947
441	0.2829032625
442	0.2823851074
443	0.2820657259
444	0.2814780585
445	0.2809464431
446	0.2807284174
447	0.2805167097
448	0.2800293508
449	0.2796363314
450	0.2794377612
451	0.2789726964
452	0.278438107
453	0.2782070932
454	0.277776782
455	0.2775347377
456	0.2771817462
457	0.2768508869
458	0.2766258914
459	0.2764475018
460	0.2760121819
461	0.2755284167
462	0.2746924763
463	0.2744126485
464	0.2738218669
465	0.273235099
466	0.2728358015
467	0.2721152125
468	0.2719043046
469	0.2713993735
470	0.2709094639
471	0.2704754808
472	0.2701720431
473	0.269429834
474	0.2690559379
475	0.2688675339
476	0.2682475545
477	0.2676556572
478	0.267216067
479	0.2669278672
480	0.2663800082
481	0.2660209769
482	0.2656505994
483	0.2650765323
484	0.2646101564
485	0.2642485844
486	0.2633905977
487	0.2631726862
488	0.2628706839
489	0.2622189114
490	0.2616465842
491	0.2610198989
492	0.2608760845
493	0.2606049165
494	0.2604195854
495	0.2600965047
496	0.2599203261
497	0.2596441888
498	0.2592540973
499	0.2588786141
500	0.2587614509
501	0.2584669979
502	0.258116936
503	0.2580117063
504	0.2578470895
505	0.2578194338
506	0.2574741111
507	0.257265465
508	0.2569095018
509	0.256621978
510	0.2562491582
511	0.2557355775
512	0.255441145
513	0.2549829729
514	0.2547548924
515	0.2542707315
516	0.2538393752
517	0.2534366733
518	0.253245765
519	0.2527436524
520	0.2523857912
521	0.2519539412
522	0.2517924845
523	0.2510986808
524	0.2506802724
525	0.2500586709
526	0.2497682546
527	0.2493848154
528	0.2489999589
529	0.2483819397
530	0.2479688507
531	0.2476492491
532	0.2475109619
533	0.2473457306
534	0.2470520814
535	0.2464776575
536	0.2461538932
537	0.2456895721
538	0.2453135866
539	0.2449714256
540	0.2445141284
541	0.2442512456
542	0.2441783833
543	0.2439153643
544	0.2436303838
545	0.2431467555
546	0.2428659627
547	0.2423494374
548	0.2420137225
549	0.241728881
550	0.2415413589
551	0.2413362424
552	0.2409448481
553	0.2406360319
554	0.2402988297
555	0.2397180921
556	0.2392221992
557	0.2387212369
558	0.2384469738
559	0.2379953986
560	0.2375997963
561	0.2370857546
562	0.2368506361
563	0.2361059545
564	0.2356001222
565	0.2353616535
566	0.2351635465
567	0.2347408018
568	0.2343907859
569	0.2337479216
570	0.2334004997
571	0.2331864275
572	0.2327163975
573	0.2323578952
574	0.2321213625
575	0.2319774149
576	0.2318176634
577	0.2314055189
578	0.2311009321
579	0.230846497
580	0.2304977131
581	0.2301880676
582	0.2298016377
583	0.2295050807
584	0.2292399468
585	0.2290152206
586	0.2287659673
587	0.2284004814
588	0.2280791229
589	0.2279445191
590	0.2276741367
591	0.2273943333
592	0.227056571
593	0.2266943364
594	0.2264223782
595	0.2260799235
596	0.2257287336
597	0.2253045486
598	0.2248112702
599	0.2245161022
600	0.2241647571
601	0.2238081025
602	0.2233911847
603	0.2232689265
604	0.2229901413
605	0.2226772286
606	0.2223056384
607	0.2219833322
608	0.2218289816
609	0.2213994554
610	0.2211106933
611	0.2207030186
612	0.2202709977
613	0.2198783961
614	0.2195972464
615	0.2192149146
616	0.219090874
617	0.2187447911
618	0.2182425493
619	0.2179107775
620	0.2174927038
621	0.2172872656
622	0.2171866028
623	0.2168602685
624	0.216508249
625	0.21626132
626	0.2161264104
627	0.2158318644
628	0.2156809276
629	0.2153418577
630	0.215169485
631	0.2149494324
632	0.2146508191
633	0.214354225
634	0.2138363968
635	0.2134584318
636	0.2129019859
637	0.2125672756
638	0.2123760777
639	0.2120628447
640	0.2117876753
641	0.2113674374
642	0.211078299
643	0.2103798997
644	0.2100628572
645	0.2098177313
646	0.2094434331
647	0.2092638477
648	0.2087580789
649	0.2086417771
650	0.2083867723
651	0.2081748672
652	0.2078924399
653	0.2074539745
654	0.2072777827
655	0.2070088605
656	0.2067028367
657	0.2063566378
658	0.206212737
659	0.2057968707
660	0.2057813216
661	0.2055000561
662	0.2052903891
663	0.2050508823
664	0.2049575794
665	0.2047636588
666	0.2045526015
667	0.2040400675
668	0.2037754893
669	0.2034945608
670	0.2031507008
671	0.202921954
672	0.2026929422
673	0.2024073025
674	0.2022084806
675	0.2018966999
676	0.2012935959
677	0.2011780505
678	0.2009221497
679	0.2004968996
680	0.2002282063
681	0.2000337256
682	0.199715363
683	0.1994341682
684	0.1993031542
685	0.1991832332
686	0.1990882025
687	0.1989094139
688	0.1987563235
689	0.1985432039
690	0.1983223235
691	0.1980975461
692	0.1976882374
693	0.1974702813
694	0.1971599831
695	0.1969057869
696	0.1965572785
697	0.1961914649
698	0.1960634452
699	0.1958618441
700	0.1956845181
701	0.1955014423
702	0.1952444652
703	0.1949813984
704	0.1945509188
705	0.1943807116
706	0.1941109097
707	0.1940393762
708	0.1936928752
709	0.1935971643
710	0.1933444978
711	0.1930586232
712	0.1926588437
713	0.1924842477
714	0.1923624116
715	0.1920955124
716	0.1919456034
717	0.1915605915
718	0.1912565022
719	0.1910287919
720	0.1908269799
721	0.1906765399
722	0.1902823581
723	0.1900818292
724	0.1898636496
725	0.1896025538
726	0.1891364997
727	0.1889184997
728	0.1885859318
729	0.1885285229
730	0.1883484814
731	0.1880211784
732	0.1878181461
733	0.1876318652
734	0.1873702845
735	0.1871687289
736	0.1869311391
737	0.1866137606
738	0.1862210974
739	0.1858321247
740	0.1856266173
741	0.1855226815
742	0.1852212356
743	0.1849605042
744	0.1847645693
745	0.1845691874
746	0.184271498
747	0.184080238
748	0.1839869118
749	0.183726208
750	0.1833528058
751	0.1830844859
752	0.1829119108
753	0.1827915678
754	0.1823985788
755	0.1822468777
756	0.1819658486
757	0.1817973549
758	0.1813659282
759	0.1811164493
760	0.1808987612
761	0.1807698413
762	0.1803435264
763	0.1800485075
764	0.1799627691
765	0.1795024968
766	0.179289576
767	0.1789838482
768	0.1789024963
769	0.1785890098
770	0.1782737148
771	0.1780249569
772	0.1778099261
773	0.1775811855
774	0.1774329214
775	0.177153495
776	0.1770092278
777	0.1767889987
778	0.1765268605
779	0.176434397
780	0.1762191075
781	0.175844312
782	0.1757540298
783	0.1755603189
784	0.1752118422
785	0.1750136321
786	0.1746571447
787	0.1743160108
788	0.1740333545
789	0.1738247775
790	0.1737485415
791	0.1734128077
792	0.1732585058
793	0.1729484142
794	0.1725471211
795	0.1722306514
796	0.1720103915
797	0.1717222588
798	0.1714871146
799	0.1713284105
800	0.1710150307
801	0.1709115531
802	0.1705560721
803	0.1704818359
804	0.1703485535
805	0.1701274899
806	0.1698842369
807	0.1697045317
808	0.1695654032
809	0.1693329913
810	0.1691314034
811	0.1687951729
812	0.1685327704
813	0.1683188874
814	0.1681964635
815	0.1677071481
816	0.1675637381
817	0.1673292169
818	0.1672078837
819	0.1671224065
820	0.1669861427
821	0.1667732517
822	0.166684761
823	0.1665903422
824	0.1663543164
825	0.1661596223
826	0.1659244846
827	0.1656546098
828	0.1653530201
829	0.1650874201
830	0.1648804189
831	0.1645957114
832	0.1644278179
833	0.1640932728
834	0.1638165339
835	0.1636256417
836	0.1633404991
837	0.1630189857
838	0.1627455147
839	0.1625721276
840	0.1624233618
841	0.1620894932
842	0.1617942516
843	0.1614638506
844	0.1613422134
845	0.1611407055
846	0.1609515478
847	0.1608952492
848	0.1606792572
849	0.1606118836
850	0.1603848374
851	0.1601907198
852	0.1600096267
853	0.1599311385
854	0.1596877701
855	0.1594640677
856	0.1591869623
857	0.159055692
858	0.1588526034
859	0.1585706892
860	0.1581773895
861	0.1579603165
862	0.1578512092
863	0.1575688619
864	0.1574891341
865	0.1571192062
866	0.1570297142
867	0.1568494161
868	0.1566726543
869	0.1565596989
870	0.1561256856
871	0.1559847197
872	0.1558752508
873	0.1556969425
874	0.1554317155
875	0.155188211
876	0.1549751562
877	0.154812181
878	0.1545745999
879	0.1544153543
880	0.1541919594
881	0.1540711796
882	0.1539039328
883	0.1537045908
884	0.1534505837
885	0.1532841184
886	0.1530862735
887	0.152888443
888	0.1526804813
889	0.1525176
890	0.1522076766
891	0.151969792
892	0.1517182624
893	0.1516020888
894	0.1513644465
895	0.1512149896
896	0.1509925779
897	0.1507401865
898	0.1505597868
899	0.150440461
900	0.150274627
901	0.1500851862
902	0.1497921786
903	0.1494989659
904	0.1492452059
905	0.1491170648
906	0.1488925833
907	0.1487114039
908	0.1485559325
909	0.1483988096
910	0.1482821327
911	0.1480239337
912	0.1478842233
913	0.1476735409
914	0.1474980071
915	0.1473348535
916	0.1470618611
917	0.1468175726
918	0.1466641674
919	0.1466094235
920	0.1464733183
921	0.1464256864
922	0.1461347863
923	0.146020243
924	0.145886029
925	0.1456392911
926	0.1455219728
927	0.1452870049
928	0.1450716292
929	0.1448886093
930	0.1447149786
931	0.1445589489
932	0.1443788638
933	0.1442884133
934	0.1441898749
935	0.1440139147
936	0.1438097133
937	0.1436771556
938	0.1435644997
939	0.1433026113
940	0.1431595687
941	0.1430080608
942	0.1429014996
943	0.1426246829
944	0.1424609392
945	0.1423010655
946	0.1421237955
947	0.14183022
948	0.1417374708
949	0.1415898961
950	0.1414398541
951	0.1413234964
952	0.1411564723
953	0.1409303946
954	0.1408070924
955	0.1406590975
956	0.1405398571
957	0.1403065845
958	0.1398656325
959	0.139652887
960	0.1394506445
961	0.1391819983
962	0.1390025036
963	0.138876118
964	0.1386296071
965	0.138441175
966	0.1382507878
967	0.1380100313
968	0.1378604996
969	0.1377188824
970	0.1375915527
971	0.1374811428
972	0.1374213684
973	0.1373120167
974	0.1371269297
975	0.1370224858
976	0.1368898252
977	0.1367608162
978	0.1364965837
979	0.1363436445
980	0.1361848879
981	0.1358902292
982	0.1357024997
983	0.1354112099
984	0.1353083436
985	0.1350907548
986	0.134890032
987	0.1347578841
988	0.1345512537
989	0.1343175891
990	0.1341909738
991	0.1340063856
992	0.1338239686
993	0.1337033163
994	0.1333901443
995	0.1333043219
996	0.1331449919
997	0.1328420574
998	0.1326381207
999	0.1325618246
